media_ID,media_type,media_title,runtime,average_rating
tt0378947,movie,Melinda and Melinda,99,7.8
tt0040580,movie,Melody Time,75,5.2
tt0323633,movie,Melvin Goes to Dinner,83,9.2
tt0081150,movie,Melvin and Howard,95,5.5
tt0182313,movie,Memento,85,7.5
tt0266075,movie,Yeogo goedam II,98,8.1
tt6181962,movie,Memento Mori,90,8.3
tt0104850,movie,Memoirs of an Invisible Man,99,8.1
tt0058759,movie,Yaadein,113,7.4
tt0113799,movie,MemorÃ®zu,113,7.1
tt1297290,movie,Memories,102,7.9
tt3519272,movie,Les souvenirs,92,5.9
tt0095613,movie,Memories of Me,105,7.2
tt0353969,movie,Salinui chueok,131,5.8
tt0100133,movie,Memphis Belle,107,7
tt0096652,tvSeries,Men,60,7.2
tt0245947,movie,Les hommes,100,6.3
tt0219919,movie,Men Seeking Women,92,8.5
tt0380291,movie,Dai cheung foo,98,7.2
tt0100135,movie,Men at Work,98,8.1
tt0499335,movie,Kargaran mashghoole karand,75,6.2
tt0119654,movie,Men in Black,98,7
tt0120912,movie,Men in Black II,88,7.1
tt0050699,movie,Men in War,102,6.7
tt0203019,movie,Men of Honor,129,6.9
tt0110490,movie,Men of War,102,6
tt0119656,movie,Men with Guns,89,9.3
tt0107554,movie,Menace II Society,97,2.8
tt0117021,movie,Mennos Mind,95,8.1
tt0082736,movie,Mephisto,144,8.3
tt0338249,movie,Merci Docteur Rey,91,7.5
tt0120749,movie,Mercury Rising,111,6
tt0117025,movie,Mercy,85,6.9
tt6566846,movie,Piedade,85,8.6
tt0322653,movie,Mere Yaar Ki Shaadi Hai,158,8.2
tt0995747,movie,Rusalka,115,7.6
tt5938508,movie,Mermaid,80,8.2
tt9051942,movie,Sirena,76,7.7
tt0100140,movie,Mermaids,110,5.6
tt0110496,movie,Mesmer,107,6.6
tt0139462,movie,Message in a Bottle,126,6.6
tt0248180,movie,Message in a Cell Phone,85,8.1
tt0095626,movie,Messenger of Death,91,7.3
tt0387412,movie,Metallica: Some Kind of Monster,141,7.3
tt0079550,movie,Meteor,108,6.9
tt0470575,movie,Ukkabat,89,6.9
tt0379380,movie,Method,93,7.2
tt0119664,movie,Metro,117,7.9
tt0119665,movie,Metroland,105,6.2
tt0017136,movie,Metropolis,153,6.2
tt0293416,movie,Metoroporisu,108,8
tt0212216,tvSeries,Metrosexuality,225,7.9
tt0219175,movie,Mexico City,90,8.1
tt0100143,movie,Miami Blues,97,8.1
tt0113808,movie,Miami Rhapsody,95,6.8
tt0015136,movie,Michael,93,6.8
tt0117039,movie,Michael Collins,133,7.6
tt0411646,movie,Michael Moore Hates America,125,7.8
tt0009369,movie,Mickey,93,7.8
tt0130121,movie,Mickey Blue Eyes,102,7.1
tt0117040,movie,Microcosmos: Le peuple de lherbe,80,6.2
tt0064665,movie,Midnight Cowboy,113,6.2
tt0111180,movie,Sibak,100,8.9
tt0077928,movie,Midnight Express,121,8.9
tt0019163,movie,Midnight Madness,61,7
tt0173013,movie,PolnocnÃ¡ omsa,92,7.5
tt0323246,movie,Midnight Mass,98,7.5
tt0095631,movie,Midnight Run,126,8.1
tt0119668,movie,Midnight in the Garden of Good and Evil,155,8.1
tt0074899,movie,Midway,132,6.7
tt0164756,movie,Mifunes sidste sang,98,7.7
tt0113819,movie,Mighty Aphrodite,95,7.2
tt0041650,movie,Mighty Joe Young,94,7.2
